Team,Name,Position,Points,Games Played,Games Played Percentage,Attack Attempts,Kills,Kill %,Attack Efficiency,Attack Error %,Block Stuffed Attack %,Reception Attempts,Average Passing Grade (3 Point Scale),Average Passing Grade (4 Point Scale),Good Pass %,Reception FBSO %,Serving Attempts,Aces Percentage,Serving Errors,Serving Error %,Point Scoring Percentage,Block Stuff Count,Block Touch %,Good Block Touch %,Block Error %,Defensive Touches,Digs,Digs %,CRT %,CNT %,R1 Attack Attempts,R1 Attack Efficiency,R2 Attack Attempts,R2 Attack Efficiency,R3 Attack Attempts,R3 Attack Efficiency,R4 Attack Attemptrs,R4 Attack Efficiency,R5 Attack Attempts,R5 Attack Efficiency,R6 Attack Attempts,R6 Attack Efficiency
Barton,Lawson Hink,Outside,108,32,91.4,257,93,36.2,0.202,8.6,7.4,160,1.84,2.03,44.4,27.5,106,5.7,11,10.4,38.7,9,5.2,38.9,37,78,51,65.4,52.6,11.5,0,0,0,0,0,0,0,0,0,0,0,0
Barton,Dominik Limberopoulos,Middle,12,10,28.6,12,5,41.7,0.25,16.7,0,0,0,0,0,0,21,23.8,8,38.1,52.3,2,1.8,54.5,45.5,3,1,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Barton,Hunter Marcantonio,Outside,4,2,5.7,10,2,20,0,20,0,5,1.4,1.4,20,40,6,16.7,0,0,50,1,1.8,50,25,2,2,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0
Barton,Jose Ruiz,Libero,0,20,57.1,0,0,0,0,0,0,95,1.88,2.06,43.2,33.7,0,0,0,0,0,0,0,0,0,62,44,71,61.3,27.4,0,0,0,0,0,0,0,0,0,0,0,0
Barton,Jack Sandahl,Opposite,84,30,85.7,225,67,29.8,0.147,8.9,6.2,20,1.35,1.45,15,5,120,2.5,7,5.8,52.5,14,6.2,40,27.7,59,41,69.5,55.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0
Barton,Jordan Taylor,Outside,10,8,22.9,24,9,37.5,0.125,12.5,12.5,33,1.91,2.09,54.6,24.2,25,0,5,20,52,1,2.3,33.3,55.6,10,8,80,80,10,0,0,0,0,0,0,0,0,0,0,0,0
Barton,Ben Wiechert,Middle,61,33,94.3,108,37,34.3,0.148,14.8,4.6,6,2,2.17,66.7,16.7,126,5.6,17,13.5,40.5,17,8.7,42.9,27.5,26,15,57.7,50,23.1,0,0,0,0,0,0,0,0,0,0,0,0
Barton,Colton Wilson,Opposite,16,15,42.9,22,12,54.5,0.318,9.1,13.6,15,2,2.13,40,33.3,13,15.4,3,23.1,53.8,2,1.6,70,10,27,16,59.3,44.4,22.2,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Thomas Roper,Outside,30,11,100,61,26,42.6,0.23,4.9,14.8,45,2.24,2.47,62.2,31.1,34,2.9,6,17.6,32.4,3,4.1,66.7,16.7,21,11,52.4,28.6,14.3,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Michael de la Cruz,Middle,27,8,72.7,34,19,55.9,0.353,14.7,5.9,4,2.25,2.5,50,50,30,13.3,8,26.7,40,4,10.3,57.1,23.8,3,3,100,66.7,33.3,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Logan Keothavy,Outside,21,7,63.6,46,19,41.3,0.239,15.2,2.2,19,2.08,2.18,47.4,52.6,31,3.2,6,19.4,51.6,1,5,30,20,19,14,73.7,63.2,31.6,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Parker Gantt,Outside,16,6,54.5,37,14,37.8,0.108,13.5,13.5,36,2.26,2.49,58.4,22.2,18,0,2,11.1,33.4,2,7.9,26.7,40,7,5,71.4,42.9,42.9,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Carter Schomock,Opposite,12,8,72.7,30,11,36.7,0.233,10,3.3,1,0,0,0,0,28,0,0,0,42.8,1,3.9,25,50,14,11,78.6,50,14.3,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Nick Tangney,Outside,11,5,45.5,26,9,34.6,0.115,15.4,7.7,0,0,0,0,0,15,6.7,4,26.7,40,1,3,44.4,44.4,9,6,66.7,33.3,11.1,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Jacob Koch,Middle,10,3,27.3,15,8,53.3,0.333,6.7,13.3,3,1.33,1.67,33.3,0,8,0,2,25,12.5,2,10.9,30,30,5,2,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Logan Taylor,Setter,11,8,72.7,17,7,41.2,0.294,11.8,0,0,0,0,0,0,22,0,1,4.5,40.9,4,11.8,50,33.3,5,3,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Ezekiel Priola,Middle,5,3,27.3,6,5,83.3,0.833,0,0,0,0,0,0,0,7,0,0,0,42.9,0,9.8,22.2,0,4,4,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Benjamin Andexler,Setter,1,4,36.4,4,1,25,0.25,0,0,0,0,0,0,0,11,0,4,36.4,0,0,2.1,0,0,4,4,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Jhavier Delgado,Libero,0,9,81.8,0,0,0,0,0,0,55,2.12,2.32,47.3,45.5,0,0,0,0,0,0,0,0,0,20,11,55,45,10,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Jackson Chadwell,Libero,0,2,18.2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Connor Kemp,Libero,0,2,18.2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Greenville,Jacob Brown,Opposite,0,2,18.2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Raymond Borges,Libero,0,2,7.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,6,6,100,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Luca Colombo,Libero,0,28,100,0,0,0,0,0,0,153,2.25,2.44,58.8,43.8,0,0,0,0,0,0,0.1,0,0,94,79,84,66,25.5,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Matthew Ekberg,Middle,27,10,35.7,35,17,48.6,0.343,2.9,11.4,0,0,0,0,0,31,12.9,6,19.4,51.6,6,5.6,47.4,31.6,11,10,90.9,72.7,18.2,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Kory Grant,Opposite,96,24,85.7,196,83,42.3,0.286,7.1,6.6,11,2.5,3.05,72.7,45.5,90,12.2,12,13.3,38.9,2,3.9,33.3,40.7,50,38,76,52,24,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Blake Hosic,Outside,32,21,75,88,29,33,0.114,10.2,11.3,111,1.92,2.05,47.7,38.7,59,3.4,7,11.9,32.2,1,3.3,13,43.5,46,32,69.6,56.5,28.3,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Constantinos Iacovou,Middle,63,24,85.7,74,41,55.4,0.527,1.4,1.4,3,1.67,1.67,33.3,33.3,92,6.5,13,14.1,35.9,16,9.2,43.7,29.6,21,14,66.7,52.4,19,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Wyatt Jones,Outside,8,3,10.7,19,7,36.8,0.105,21.1,5.2,14,2.5,2.5,50,35.7,6,16.7,0,0,16.7,0,0.6,100,0,5,2,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Maksim Kazanov,Middle,12,11,39.3,23,7,30.4,0,30.4,0,2,1.75,2.25,50,0,35,2.9,5,14.3,48.5,4,3.6,36.8,36.8,8,4,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Jackson Lahey,Setter,37,27,96.4,34,16,47.1,0.383,8.8,0,1,1,1,0,100,123,8.1,24,19.5,40.7,11,7.7,49.2,32.2,47,38,80.9,59.6,19.1,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Holden Maryott,Middle,72,24,85.7,80,52,65,0.5,7.5,7.5,3,1,1,33.3,0,67,6,8,11.9,41.8,16,9.1,41.3,36.5,15,11,73.3,40,26.7,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Lucas Olszewski,Opposite,5,2,7.1,8,4,50,0.125,12.5,25,0,0,0,0,0,6,16.7,1,16.7,33.3,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Tate Sandvig,Outside,96,24,85.7,158,85,53.8,0.418,8.2,3.8,148,2.05,2.24,51.3,35.8,92,5.4,22,23.9,30.4,6,6,26.1,47.8,48,32,66.7,45.8,22.9,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Christo Savvidis,Outside,17,17,60.7,52,16,30.8,0.115,15.4,3.9,46,2.21,2.36,50,32.6,48,0,3,6.2,47.9,1,1.5,40,50,13,10,76.9,53.8,7.7,0,0,0,0,0,0,0,0,0,0,0,0
Mount Olive,Kerry Tao,Setter,1,4,14.3,2,0,0,0,0,0,1,3,3,100,0,7,0,1,14.3,42.9,1,0.3,100,0,2,2,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Abdirahman Ahmed,Opposite,13,4,14.3,26,12,46.2,0.115,23.1,11.5,1,0.5,0.5,0,0,9,0,3,33.3,11.1,1,1.8,33.3,33.3,8,8,100,37.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0
Lees-Mcrae,Austin Beaird,Outside,68,28,100,172,57,33.1,0.087,15.1,9.3,127,1.93,2.09,43.3,21.3,87,5.7,26,29.9,29.9,6,4,46.4,46.4,57,37,64.9,50.9,17.5,0,0,0,0,0,0,0,0,0,0,0,0
