Team,Name,Position,Points,Games Played,Games Played Percentage,Attack Attempts,Kills,Kill %,Attack Efficiency,Attack Error %,Block Stuffed Attack %,Reception Attempts,Average Passing Grade (3 Point Scale),Average Passing Grade (4 Point Scale),Good Pass %,Reception FBSO %,Serving Attempts,Aces Percentage,Serving Errors,Serving Error %,Point Scoring Percentage,Block Stuff Count,Block Touch %,Good Block Touch %,Block Error %,Defensive Touches,Digs,Digs %,CRT %,CNT %,R1 Attack Attempts,R1 Attack Efficiency,R2 Attack Attempts,R2 Attack Efficiency,R3 Attack Attempts,R3 Attack Efficiency,R4 Attack Attemptrs,R4 Attack Efficiency,R5 Attack Attempts,R5 Attack Efficiency,R6 Attack Attempts,R6 Attack Efficiency
Belmont Abbey,Duncan McGehee,Opposite/Defensive Specialist,0,1,4.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Aidan Acton,Outside,1,9,37.5,0,0,0,0,0,0,0,0,0,0,0,21,4.8,4,19,57.1,0,0,0,0,2,1,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Ryan Charles,Outside,14,17,70.8,36,11,30.6,0.083,16.7,5.6,72,2.24,2.4,55.6,31.9,50,4,8,16,36,1,2.6,28.6,42.9,24,15,62.5,45.8,12.5,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Zach Cramer,Setter,0,5,20.8,0,0,0,0,0,0,0,0,0,0,0,7,0,1,14.3,0,0,0.3,100,0,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Caden Day,Outside,38,16,66.7,92,34,37,0.087,19.6,8.7,102,2.33,2.51,61.8,35.3,45,2.2,10,22.2,28.9,3,3.5,50,31.2,33,27,81.8,57.6,9.1,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Jibriel Elhaddad,Middle,49,17,70.8,70,38,54.3,0.4,4.3,10,1,3,4,100,100,56,1.8,9,16.1,28.6,10,11.9,47.1,27.5,13,7,53.8,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Evan Ford,Outside,4,2,8.3,9,3,33.3,0.333,0,0,2,2.5,2.5,50,100,3,33.3,0,0,66.7,0,0,0,0,2,2,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Garrett Hockman,Middle,14,10,41.7,22,9,40.9,0.136,9.1,18.2,0,0,0,0,0,24,8.3,5,20.8,45.9,3,5.8,40,36,1,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Zeke Jarzyniecki,Outside,0,1,4.2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Brian Knoerr,Opposite,0,1,4.2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont Abbey,Alejandro Leon,Libero,0,24,100,0,0,0,0,0,0,122,2.36,2.64,64.8,41,0,0,0,0,0,0,0,0,0,53,37,69.8,50.9,15.1,0,0,0,0,0,0,0,0,0,0,0,0
